Distance (m),Speed (m/s)
100,9.24
200,8.3
300,6.91
400,7.9
500,7.25
600,9.3
700,9.34
800,9.27
900,8.59
1000,8.88
1100,9.94
1200,8.39
1300,10.55
1400,10.42
1500,9.47
1600,10.63
1700,10.88
1800,10.87
1900,11.55
2000,11.58
2100,11.99
2200,11.68
2300,12
2400,11.02
2500,10.94
2600,12
2700,11.66
2800,12
2900,10.84
3000,11.98
3100,12
3200,12
3300,12
3400,12
3500,10.88
3600,10.8
3700,10.4
3800,11.94
3900,11.23
4000,11.09
4100,11.72
4200,11.81
4300,10.69
4400,8.94
4500,9.71
4600,9.38
4700,8.54
4800,10.03
4900,10.11
5000,10.31
5100,8.01
5200,8.99
5300,9.35
5400,9.0
5500,8.72
5600,9.16
5700,8.48
5800,7.17
5900,8.34
6000,5.43
6100,6.57
6200,7.4
6300,5.06
6400,5.97
6500,7.97
6600,7.3
6700,8.56
6800,7.53
6900,9.75
7000,8.61
7100,9.76
7200,10.8
7300,9.5
7400,12
7500,12
7600,11.52
7700,10.68
7800,12
7900,11.13
8000,10.51
8100,12
8200,12
8300,12
8400,9.99
8500,11.21
8600,11.82
8700,11.07
8800,10.25
8900,8.08
9000,10.34
9100,7.2
9200,8.17
9300,6.9
9400,6.77
9500,5.48
9600,5.85
9700,4.87
9800,5.1
9900,4.59
10000,6.72
